,bus_i,type,Pd,Qd,Gs,X,Y
0,1,2,51,27,0,-1.0,0.33052717208398463
1,2,1,20,9,0,-0.9201980647194951,0.304525709890455
2,3,1,39,10,0,-0.883868731467602,0.3253783372469501
3,4,2,39,12,0,-0.7948698698245089,0.4275959838021726
4,5,1,0,0,0,-0.7874839585065073,0.3347913738796302
5,6,2,52,22,0,-0.9045758721453998,0.41374936636359755
6,7,1,19,2,0,-0.8650739973546301,0.3792471571362014
7,8,2,28,0,0,-0.6525890921837408,0.19953159208478496
8,9,1,0,0,0,-0.8105130242956229,0.11678091053826258
9,10,2,0,0,0,-0.9342773522857809,0.06729059746314324
10,11,1,70,23,0,-0.6999188711099503,0.37602377481465293
11,12,2,47,10,0,-0.7573934329363009,0.296436641957723
12,13,1,34,16,0,-0.536906267749469,0.370510177416201
13,14,1,14,1,0,-0.5683555598778092,0.31507526549374343
14,15,2,90,30,0,-0.35825025009472794,0.30977900597923375
15,16,1,25,10,0,-0.5938153526292959,0.1966430238661225
16,17,1,11,3,0,-0.40602743557780774,0.112173673156799
17,18,2,60,34,0,-0.28757098449078716,0.23324638822372065
18,19,2,45,25,0,-0.1554563213955539,0.34421987166315643
19,20,1,18,3,0,-0.06975120062968182,0.22678870193624845
20,21,1,14,8,0,-0.0804131661787839,0.08030219053868067
21,22,1,10,5,0,-0.14980362800565536,-0.06242394024367265
22,23,1,7,3,0,-0.2265891259646477,-0.19355146506099868
23,24,2,13,0,0,-0.09500980184828464,-0.2743109852585297
24,25,2,0,0,0,-0.3572374988438848,-0.17164745804924134
25,26,2,0,0,0,-0.4059879785247068,-0.002139203145220302
26,27,2,71,13,0,-0.38298730734383774,-0.3141357391845107
27,28,1,17,7,0,-0.4770725675951187,-0.34786695530861866
28,29,1,24,4,0,-0.49066310627822113,-0.23966656706341652
29,30,1,0,0,0,-0.40136939235720454,0.1759873135484199
30,31,2,43,27,0,-0.4225724288975204,-0.10205523841336694
31,32,2,59,23,0,-0.3426178294762256,-0.2175482235331984
32,33,1,23,9,0,-0.14019571826382127,0.3750224329970321
33,34,2,59,26,0,0.05184085994123975,0.5039540147377907
34,35,1,33,9,0,0.15233464619947654,0.5415499269196926
35,36,2,31,17,0,0.16946045765809262,0.6032892846696223
36,37,1,0,0,0,0.050664123976584235,0.4291180823313441
37,38,1,0,0,0,-0.1474094401128221,0.2841357982890863
38,39,1,27,11,0,0.18471897357200592,0.49242299145155205
39,40,2,66,23,0,0.2395954910338527,0.4864977767727539
40,41,1,37,10,0,0.3635150984578718,0.5071436227874915
41,42,2,96,23,0,0.2859959176788368,0.4453948653864464
42,43,1,18,7,0,0.20175584542648564,0.6211006803663807
43,44,1,16,8,0,0.30459098570380005,0.5865238616651719
44,45,1,53,22,0,0.2550652140446443,0.44658660990756427
45,46,2,28,10,0,0.265799354480852,0.3246238061581966
46,47,1,34,0,0,0.1829130654034015,0.21817528268117956
47,48,1,20,11,0,0.2374361053774933,0.3703782760223159
48,49,2,87,30,0,0.12330270295554849,0.38348274661342374
49,50,1,17,4,0,0.07682223866808519,0.551760269779629
50,51,1,17,8,0,0.0993124428157879,0.6181423424074138
51,52,1,18,5,0,0.10344761761492645,0.7721550894805458
52,53,1,23,11,0,0.020889188107682664,0.7847312461563395
53,54,2,113,32,0,-0.00715861441327239,0.6249681723546076
54,55,2,63,22,0,-0.09639638479384884,0.7342423792548213
55,56,2,84,18,0,-0.04574573361960495,0.7258592666466535
56,57,1,12,3,0,0.032397772055526956,0.6888884758399756
57,58,1,12,3,0,0.04272737061073845,0.7434001514854851
58,59,2,277,113,0,-0.1304073295732957,0.6690464355458061
59,60,1,78,3,0,-0.2237521887407678,0.6180953071744344
60,61,2,0,0,0,-0.17757539902161262,0.5754792137264858
61,62,2,77,14,0,-0.17108060393890903,0.5052666050568665
62,63,1,0,0,0,-0.13382692306312854,0.5948100655220818
63,64,1,0,0,0,-0.09255613243495299,0.46086000867171906
64,65,2,0,0,0,0.0078089471568543265,0.27255167038351413
65,66,2,39,18,0,-0.048516440929195756,0.3925775631656098
66,67,1,28,7,0,-0.1639529513702161,0.43963210082156423
67,68,1,0,0,0,0.18677076216063165,0.06873977624779232
68,69,3,0,0,0,0.14767737248955115,0.01850122109279259
69,70,2,66,20,0,0.046897829235495625,-0.20179653859114072
70,71,1,0,0,0,0.007563575265758993,-0.39292109948087944
71,72,2,12,0,0,-0.07998657317161485,-0.39204145226109166
72,73,2,6,0,0,0.015439089738533245,-0.5393477831595768
73,74,2,68,27,0,0.09178993297443057,-0.19790080415009453
74,75,1,47,11,0,0.14644565852044145,-0.16499698100237978
75,76,2,68,36,0,0.19581829762072916,-0.33544575607698435
76,77,2,61,28,0,0.23640214819415625,-0.26210309762029355
77,78,1,71,26,0,0.3434496900427488,-0.2956219376761336
78,79,1,39,32,0,0.4223930754166639,-0.3257623728627029
79,80,2,130,26,0,0.39230158971877965,-0.3779543720548882
80,81,1,0,0,0,0.30834530994644377,-0.14978150355175113
81,82,1,54,27,0,0.22889534096026262,-0.5037656556143996
82,83,1,20,10,0,0.11127706906740056,-0.6849076372704651
83,84,1,11,7,0,0.041939338420676035,-0.8109814474180341
84,85,2,24,15,0,0.061092158445423844,-0.7818463068571456
85,86,1,21,10,0,-0.1512570952861079,-0.6954388374974243
86,87,2,0,0,0,-0.3185642954658173,-0.5541541724858539
87,88,1,48,10,0,0.14716798562562536,-0.8731152663413119
88,89,2,0,0,0,0.25679254259242446,-0.8194429044048093
89,90,2,163,42,0,0.3365736519082974,-0.9195966250273424
90,91,2,10,0,0,0.43343920476829056,-0.8834291568518201
91,92,2,65,10,0,0.4760961631283078,-0.7468171271613935
92,93,1,12,7,0,0.5421850823482747,-0.7820714703556447
93,94,1,30,16,0,0.5109514876568955,-0.6620608756037318
94,95,1,42,31,0,0.44534495589977546,-0.6566039098606019
95,96,1,38,15,0,0.39111510464272625,-0.5507887268137182
96,97,1,15,9,0,0.41379620433743214,-0.48717627363852994
97,98,1,34,8,0,0.5322855413142835,-0.46958634046631564
98,99,2,42,0,0,0.5133463066679084,-0.49710306561632805
99,100,2,37,18,0,0.6189532562034918,-0.5685338414184916
100,101,1,22,15,0,0.6761956751224444,-0.6955698139132466
101,102,1,5,3,0,0.6094774248941183,-0.7714580138226306
