,bus_i,type,Pd,Qd,Gs,X,Y
0,1,2,51,27,0,-0.8473269255511381,0.5775732455334209
1,2,1,20,9,0,-0.7903455044634241,0.5393970350549919
2,3,1,39,10,0,-0.8053989973888098,0.48162260288552855
3,4,2,39,12,0,-0.8682253448298823,0.36293937840582086
4,5,1,0,0,0,-0.7976969135217307,0.3708107753423963
5,6,2,52,22,0,-0.8987827003607456,0.4311409759006515
6,7,1,19,2,0,-0.8502907255769567,0.4660472181674894
7,8,2,28,0,0,-0.6674633149153562,0.245585912367952
8,9,1,0,0,0,-0.8265913425514946,0.21582327204811164
9,10,2,0,0,0,-0.9445001390209237,0.1997501936255961
10,11,1,70,23,0,-0.7794169929098644,0.35125804749881634
11,12,2,47,10,0,-0.7293624288757333,0.4237354905811388
12,13,1,34,16,0,-0.6830314218468179,0.29120941469275463
13,14,1,14,1,0,-0.6448143315339018,0.3442790457923718
14,15,2,90,30,0,-0.5435487795162504,0.2313436578584436
15,16,1,25,10,0,-0.6043634901842014,0.2776797552404443
16,17,1,11,3,0,-0.4842804366186431,0.11964426054686189
17,18,2,60,34,0,-0.542952849404225,0.09509301130411339
18,19,2,45,25,0,-0.4454716405295701,0.1127032501618414
19,20,1,18,3,0,-0.48306916620035933,-0.03584338549491775
20,21,1,14,8,0,-0.43999087102350504,-0.15151964388993247
21,22,1,10,5,0,-0.3157948546657787,-0.1820328009303195
22,23,1,7,3,0,-0.15767786620647953,-0.1499422835165685
23,24,2,13,0,0,0.08007048382821258,-0.13812336259605293
24,25,2,0,0,0,-0.2813739289291026,-0.10441960061677347
25,26,2,0,0,0,-0.3726737019252228,0.034613975521574594
26,27,2,71,13,0,-0.2955072845317436,-0.21944266034162874
27,28,1,17,7,0,-0.27665366992759094,-0.18130355414800672
28,29,1,24,4,0,-0.30232239715526754,-0.08742340930353884
29,30,1,0,0,0,-0.4314795958654353,0.1852433007430693
30,31,2,43,27,0,-0.3615854241339807,-0.018312373357669644
31,32,2,59,23,0,-0.2852302433705507,-0.13294243249325488
32,33,1,23,9,0,-0.4131218393726443,0.280944162023984
33,34,2,59,26,0,-0.27229094056979974,0.1805546609041144
34,35,1,33,9,0,-0.31792415052982115,0.19429123414514632
35,36,2,31,17,0,-0.3236566042579506,0.15572615651933078
36,37,1,0,0,0,-0.25913081884447176,0.275498063753704
37,38,1,0,0,0,-0.19274321153360044,0.23308515625795737
38,39,1,27,11,0,-0.20555733482194055,0.3309168763925704
39,40,2,66,23,0,-0.10751404729281908,0.34823479487137626
40,41,1,37,10,0,-0.0314151143478052,0.3949503459173303
41,42,2,96,23,0,0.07032060311682707,0.3626446836214704
42,43,1,18,7,0,-0.09949768391461215,0.21379648213397032
43,44,1,16,8,0,0.06601899417121582,0.2429869414572767
44,45,1,53,22,0,0.21503554341849918,0.29115168104552763
45,46,2,28,10,0,0.33123002528549533,0.29370467510471476
46,47,1,34,0,0,0.33951983406576575,0.2182717059178672
47,48,1,20,11,0,0.3757380189126671,0.35199465650770556
48,49,2,87,30,0,0.2822644217421753,0.34814306465850753
49,50,1,17,4,0,0.34648262807975394,0.46674560959452666
50,51,1,17,8,0,0.3914305092950458,0.5024807528261266
51,52,1,18,5,0,0.46285313331195704,0.6050139456179683
52,53,1,23,11,0,0.40268260893886026,0.6538221737105995
53,54,2,113,32,0,0.30382553987932087,0.560448584565564
54,55,2,63,22,0,0.2857089341728223,0.6714015748785069
55,56,2,84,18,0,0.32576538283620377,0.6410252056761848
56,57,1,12,3,0,0.36865948282490185,0.57654666995577
57,58,1,12,3,0,0.406311220551815,0.611330901626873
58,59,2,277,113,0,0.22764720806520097,0.6369388845022224
59,60,1,78,3,0,0.13684082166508885,0.6495899496116059
60,61,2,0,0,0,0.13716893580228862,0.5942917660884374
61,62,2,77,14,0,0.11818442498112931,0.5460471430171209
62,63,1,0,0,0,0.1718497816351267,0.575955839280475
63,64,1,0,0,0,0.11012778710684544,0.4605849735604603
64,65,2,0,0,0,0.056281298679790356,0.26653258621554704
65,66,2,39,18,0,0.14324347333755902,0.4071247208694344
66,67,1,28,7,0,0.09866309843909268,0.5018189090695038
67,68,1,0,0,0,0.21189792119792733,0.06754560380215659
68,69,3,0,0,0,0.34182721054383114,0.0663769986157288
69,70,2,66,20,0,0.2800456876927911,-0.07549790991177649
