,bus_i,type,Pd,Qd,Gs,X,Y
0,1,2,51,27,0,-0.4019257998628698,-0.8573241334558321
1,2,1,20,9,0,-0.33325906949912576,-0.8928602342389244
2,3,1,39,10,0,-0.30954973744950093,-0.7868599480368333
3,4,2,39,12,0,-0.2783193189669161,-0.7322263036767203
4,5,1,0,0,0,-0.22107237999845136,-0.6873095442747117
5,6,2,52,22,0,-0.33703661700088783,-0.7422381087040949
6,7,1,19,2,0,-0.32972065230718833,-0.8260301303728405
7,8,2,28,0,0,-0.04409667686122819,-0.5693684202104495
8,9,1,0,0,0,0.10375151293881718,-0.4601576858872899
9,10,2,0,0,0,0.21284252517684615,-0.3977651348135185
10,11,1,70,23,0,-0.20705881904027829,-0.7653271158595817
11,12,2,47,10,0,-0.2131477302718943,-0.8329449401992435
12,13,1,34,16,0,-0.09360241743020799,-0.7583185949746063
13,14,1,14,1,0,-0.0906033277748342,-0.8062872299223325
14,15,2,90,30,0,0.03784104881555331,-0.7208088354326563
15,16,1,25,10,0,-0.019848286773669482,-0.7902544896217
16,17,1,11,3,0,0.16807019142532298,-0.7027902385191308
17,18,2,60,34,0,0.21168134865771035,-0.7679177193237928
18,19,2,45,25,0,0.19448257029970503,-0.6624730530076086
19,20,1,18,3,0,0.3521958525042287,-0.5781918297769607
20,21,1,14,8,0,0.47980339953275164,-0.4945443037461555
21,22,1,10,5,0,0.5493898537734808,-0.4482316708096659
22,23,1,7,3,0,0.45097735452777815,-0.42791390899373866
23,24,2,13,0,0,0.3588171589838355,-0.20879671854700704
24,25,2,0,0,0,0.4441330325654951,-0.5529651050814282
25,26,2,0,0,0,0.27711327460386936,-0.5440222287785998
26,27,2,71,13,0,0.5541025898500924,-0.6577005566212762
27,28,1,17,7,0,0.5796707291378773,-0.767673646404445
28,29,1,24,4,0,0.4872041083257694,-0.7876130855952596
29,30,1,0,0,0,0.09041867923655446,-0.5301205329180457
30,31,2,43,27,0,0.36555112527846945,-0.7208612523704876
31,32,2,59,23,0,0.46565957750832937,-0.6203525823944572
32,33,1,23,9,0,0.0037022468439314345,-0.6199210305463989
33,34,2,59,26,0,0.11562638679511622,-0.5561626595797201
34,35,1,33,9,0,0.041196168660998074,-0.5884323522569014
35,36,2,31,17,0,0.09348168630494713,-0.6444393356618613
36,37,1,0,0,0,0.018317099987259233,-0.47653462817635883
37,38,1,0,0,0,-0.046248735888003656,-0.3489347494767352
38,39,1,27,11,0,0.0060627206914601025,-0.4068262482807159
39,40,2,66,23,0,0.033757202817817876,-0.3204478438067135
40,41,1,37,10,0,0.06690083002944325,-0.23653347831925986
41,42,2,96,23,0,0.018682650688331606,-0.15958097426346343
42,43,1,18,7,0,0.10340240529092133,-0.4147325662358421
43,44,1,16,8,0,0.08836902243138037,-0.2693693073927605
44,45,1,53,22,0,0.052559494315198726,-0.11261763708816334
45,46,2,28,10,0,0.10263419100729786,-0.04284536481834058
